NTAName,GeoID,Borough,Pop,PopZ,PopY,PopX,PopBB,Hsp_E,Hsp_P,Wt_E,Wt_P,Bl_E,Bl_P,Asn_E,Asn_P,Rc2pl_E,Rc2pl_P,Oths_E,Oths_P,MdHHIncE,MnHHIncE
South Ozone Park,QN1001,Queens,"83,569",14746.0,17347.0,24329.0,17160.0,"16,772",20.1,"3,698",4.4,"15,436",18.5,"27,457",32.9,"8,050",9.6,12156.0,14.6,98035.0,114111.0
Ozone Park,QN1002,Queens,"24,360",4656.0,5232.0,5880.0,4558.0,"9,715",39.9,"4,381",18.0,"1,510",6.2,"6,619",27.2,"1,081",4.4,1054.0,4.4,82472.0,103733.0
Howard Beach-Lindenwood,QN1003,Queens,"30,374",3684.0,5112.0,7775.0,7125.0,"7,506",24.7,"19,140",63.0,"1,107",3.6,"1,710",5.6,867,2.9,44.0,0.1,96617.0,129067.0
Auburndale,QN1101,Queens,"35,317",5196.0,6840.0,9915.0,7618.0,"5,975",16.9,"11,641",33.0,442,1.3,"16,216",45.9,707,2.0,336.0,1.0,90231.0,113539.0
Bayside,QN1102,Queens,"35,353",5638.0,6530.0,10142.0,7728.0,"4,540",12.8,"12,199",34.5,987,2.8,"16,649",47.1,837,2.4,141.0,0.4,106282.0,133574.0
Douglaston-Little Neck,QN1103,Queens,"25,682",3140.0,4021.0,7796.0,6534.0,"2,606",10.1,"10,589",41.2,488,1.9,"11,283",43.9,544,2.1,172.0,0.6,111992.0,136308.0
Oakland Gardens-Hollis Hills,QN1104,Queens,"26,895",4110.0,4225.0,7508.0,6514.0,"4,288",15.9,"9,749",36.2,666,2.5,"11,336",42.1,646,2.4,210.0,0.8,101530.0,121741.0
Jamaica,QN1201,Queens,"58,368",11408.0,13087.0,14621.0,10401.0,"19,833",34.0,"2,718",4.7,"10,075",17.3,"19,803",33.9,"2,241",3.8,3698.0,6.3,61084.0,81613.0
South Jamaica,QN1202,Queens,"43,798",9275.0,9843.0,10892.0,6701.0,"5,841",13.3,"1,012",2.3,"24,366",55.6,"6,909",15.8,"1,439",3.3,4231.0,9.7,72509.0,93942.0
Baisley Park,QN1203,Queens,"44,443",8825.0,9370.0,12266.0,7519.0,"6,141",13.8,670,1.5,"29,897",67.3,"2,728",6.1,"2,252",5.1,2755.0,6.2,82542.0,105949.0
Springfield Gardens (North)-Rochdale Village,QN1204,Queens,"32,926",6112.0,5344.0,9395.0,6353.0,"3,209",9.7,610,1.9,"27,398",83.2,360,1.1,927,2.8,422.0,1.3,68394.0,88679.0
