NTAName,GeoID,Borough,Pop,MdAge,PopU18,Pop65pl,Hsp_E,Hsp_P,Wt_E,Wt_P,Bl_E,Bl_P,Asn_E,Asn_P,Rc2pl_E,Rc2pl_P,Oths_E,Oths_P,MdHHIncE,MnHHIncE
Greenpoint,BK0101,Brooklyn,"38,260",34.9,4985,3820,"6,093",15.9,"26,599",69.5,889,2.3,"1,829",4.8,"2,583",6.8,267.0,0.7,125469.0,152849.0
Williamsburg,BK0102,Brooklyn,"64,311",32.3,11642,4386,"18,719",29.1,"35,270",54.8,"1,836",2.9,"5,219",8.1,"3,030",4.7,237.0,0.4,129838.0,182233.0
South Williamsburg,BK0103,Brooklyn,"46,364",18.1,23102,3536,"3,710",8.0,"38,745",83.6,"2,898",6.3,365,0.8,301,0.6,345.0,0.7,36951.0,65450.0
East Williamsburg,BK0104,Brooklyn,"52,600",33.7,8335,6320,"19,468",37.0,"19,048",36.2,"7,171",13.6,"4,991",9.5,"1,605",3.1,317.0,0.6,71107.0,105681.0
Brooklyn Heights,BK0201,Brooklyn,"25,277",37.8,4280,4392,"1,789",7.1,"18,232",72.1,"1,510",6.0,"2,114",8.4,"1,524",6.0,108.0,0.5,179877.0,269862.0
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,Brooklyn,"39,872",33.5,7283,3510,"5,648",14.2,"19,366",48.6,"5,484",13.8,"7,148",17.9,"1,989",5.0,237.0,0.6,149181.0,213387.0
Fort Greene,BK0203,Brooklyn,"34,036",35.6,6298,4112,"5,010",14.7,"11,794",34.7,"9,998",29.4,"4,042",11.9,"2,642",7.8,550.0,1.6,107633.0,164247.0
Clinton Hill,BK0204,Brooklyn,"27,123",34.9,3728,3499,"3,576",13.2,"12,848",47.4,"6,652",24.5,"2,279",8.4,"1,541",5.7,227.0,0.8,115160.0,162928.0
Bedford-Stuyvesant (West),BK0301,Brooklyn,"89,800",31.2,23267,6577,"17,938",20.0,"34,525",38.4,"28,396",31.6,"3,983",4.4,"4,296",4.8,662.0,0.8,76660.0,116631.0
Bedford-Stuyvesant (East),BK0302,Brooklyn,"92,641",34.9,18108,11444,"14,217",15.3,"15,732",17.0,"55,070",59.4,"3,130",3.4,"4,084",4.4,408.0,0.5,69954.0,103415.0
Bushwick (West),BK0401,Brooklyn,"54,804",31.1,8734,4030,"29,429",53.7,"15,788",28.8,"3,389",6.2,"4,017",7.3,"1,679",3.1,502.0,0.9,87122.0,100973.0
Bushwick (East),BK0402,Brooklyn,"60,220",33.2,10171,7196,"28,736",47.7,"10,620",17.6,"15,783",26.2,"2,625",4.4,"1,572",2.6,884.0,1.5,69355.0,90737.0
Cypress Hills,BK0501,Brooklyn,"42,300",35.4,10584,4959,"29,524",69.8,"1,641",3.9,"7,444",17.6,"1,744",4.1,"1,029",2.4,918.0,2.2,63193.0,88539.0
East New York (North),BK0502,Brooklyn,"44,062",33.8,11712,5160,"14,673",33.3,"1,029",2.3,"24,254",55.0,"1,570",3.6,"1,989",4.5,547.0,1.2,54158.0,69592.0
East New York-New Lots,BK0503,Brooklyn,"53,067",37.3,11950,8141,"11,813",22.3,625,1.2,"37,914",71.4,596,1.1,"1,226",2.3,893.0,1.7,52754.0,67634.0
Spring Creek-Starrett City,BK0504,Brooklyn,"16,808",46.0,3175,4601,"2,674",15.9,"2,528",15.0,"10,378",61.7,444,2.6,563,3.3,221.0,1.3,39279.0,61506.0
East New York-City Line,BK0505,Brooklyn,"49,066",32.8,13733,5657,"11,718",23.9,"1,061",2.2,"28,510",58.1,"5,686",11.6,"1,242",2.5,849.0,1.7,44086.0,66753.0
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,Brooklyn,"61,436",37.7,13525,6878,"10,595",17.2,"34,176",55.6,"8,197",13.3,"3,780",6.2,"3,495",5.7,1193.0,1.9,129891.0,201206.0
Park Slope,BK0602,Brooklyn,"59,225",36.9,12533,7167,"7,080",12.0,"40,136",67.8,"3,244",5.5,"5,467",9.2,"2,958",5.0,340.0,0.5,192130.0,260363.0
Windsor Terrace-South Slope,BK0701,Brooklyn,"26,359",40.0,6364,3508,"3,483",13.2,"18,307",69.5,689,2.6,"2,483",9.4,"1,221",4.6,176.0,0.7,134366.0,186721.0
Sunset Park (West),BK0702,Brooklyn,"52,990",34.8,12307,5170,"30,705",57.9,"12,502",23.6,"2,115",4.0,"6,109",11.5,"1,318",2.5,241.0,0.4,79785.0,113250.0
Sunset Park (Central),BK0703,Brooklyn,"45,084",36.1,11496,5470,"16,536",36.7,"3,872",8.6,887,2.0,"22,937",50.9,420,0.9,432.0,0.9,60772.0,82266.0
Prospect Heights,BK0801,Brooklyn,"23,921",36.5,4358,3067,"2,359",9.9,"14,060",58.8,"3,883",16.2,"1,756",7.3,"1,810",7.6,53.0,0.2,146258.0,207146.0
Crown Heights (North),BK0802,Brooklyn,"86,360",34.9,15425,10326,"12,808",14.8,"18,798",21.8,"46,573",53.9,"2,524",2.9,"4,393",5.1,1264.0,1.5,68518.0,100100.0
Crown Heights (South),BK0901,Brooklyn,"52,591",33.7,11809,7589,"6,728",12.8,"16,626",31.6,"26,881",51.1,494,0.9,"1,298",2.5,564.0,1.1,70764.0,91052.0
Prospect Lefferts Gardens-Wingate,BK0902,Brooklyn,"47,387",37.4,8216,7843,"4,647",9.8,"11,493",24.3,"26,938",56.8,"1,793",3.8,"2,152",4.5,364.0,0.8,71973.0,103236.0
Bay Ridge,BK1001,Brooklyn,"84,567",40.6,16651,15675,"17,732",21.0,"48,998",57.9,"2,243",2.7,"12,835",15.2,"2,382",2.8,377.0,0.5,88926.0,120000.0
