County,License Number,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,City,Zip Code,Square Footage,Georeference,Full Address,Normalized DBA Name,Is Chain Store,Is Grocery Store
BRONX,739416,AC,BRONX GOURMET LTD,BRONX GOURMET,760,E. TREMONT AVENUE,,BRONX,10460,,POINT (-73.889000031 40.844229376),760 E. TREMONT AVENUE,bronx gourmet,No,Yes
BRONX,606350,AC,BRONX GOURMET FOOD CORP,BRONX GOURMET FOOD,921A,E 180TH ST,,BRONX,10460,1500,POINT (-73.881271497 40.844544159),921A E 180TH ST,bronx gourmet food,No,Yes
BRONX,609438,AC,BRONX M&E DELI GROCERY CORP,BRONX M&E DELI,732,E 187TH ST,,BRONX,10458,1100,POINT (-73.882971096 40.853599757),732 E 187TH ST,bronx me deli,No,Yes
BRONX,711733,AC,BRONX MEAT & DELI CORP,BRONX MEAT & DELI,100,E 183RD ST,,BRONX,10453,1800,POINT (-73.901835156 40.857973686),100 E 183RD ST,bronx meat deli,No,Yes
BRONX,761373,A,BRONX MINI MART CORP,BRONX MINI MART,3324,3RD AVE,,BRONX,10456,,POINT (-73.907705505 40.826120861),3324 3RD AVE,bronx mini mart,No,Yes
QUEENS,634130,ABC,BONILLA FOOD CORP,C TOWN,222-51,JAMAICA AVE,,QUEENS VILLAGE,11428,15000,POINT (-73.731211877 40.7216554),222-51 JAMAICA AVE,c town,Yes,Yes
QUEENS,633905,AC,SUN HUI FOOD CORP,C TOWN,94-06,63RD DR,,REGO PARK,11374,10000,POINT (-73.862945304 40.72887817),94-06 63RD DR,c town,Yes,Yes
BRONX,738210,AC,BRONX SUPERMARKET INC,BRONX SUPERMARKET,1450,ST PETERS AVE,,BRONX,10461,2000,POINT (-73.845619743 40.83937089),1450 ST PETERS AVE,bronx supermarket,No,Yes
BRONX,608578,A,BRONX VIEW DELI & GROCERY INC,BRONX VIEW DELI & GROCERY,717,ALLERTON AVE,,BRONX,10467,1200,POINT (-73.866504344 40.865607504),717 ALLERTON AVE,bronx view deli grocery,No,Yes
BRONX,711296,AC,BRONXWOOD FOOD & CONVENIENCE INC,BRONXWOOD FOOD & CONVENIENCE,884,E 233 ST,,BRONX,10466,900,POINT (-73.851955623 40.891512656),884 E 233 ST,bronxwood food convenience,No,No
BRONX,751490,A,BROOK AVE CONVENIENCE CORP,BROOK AVE CONVENIENCE,487,BROOK AVE,,BRONX,10455,,POINT (-73.915972828 40.813499601),487 BROOK AVE,brook ave convenience,No,No
KINGS,727146,AC,BROOKDALE DELI AND GRILL INC,BROOKDALE DELI AND GRILL,2562,LINDEN BLVD,,BROOKLYN,11208,1500,POINT (-73.86953985 40.667987457),2562 LINDEN BLVD,brookdale deli and grill,No,Yes
KINGS,744500,AC,BROOKDALE GOURMET DELI CORP,BROOKDALE GOURMET DELI,469,EAST 98 STREET,,BROOKLYN,11212,1000,POINT (-73.914050941 40.657231547),469 EAST 98 STREET,brookdale gourmet deli,No,Yes
KINGS,618725,AC,UTICA FINEST MEATS INC,BROOKLYN #1 MEAT MARKET,845,UTICA AVE,,BROOKLYN,11203,1500,POINT (-73.930264308 40.65251153),845 UTICA AVE,brooklyn 1 meat market,No,No
KINGS,616669,AC,AVE D FINEST MEAT CORP,BROOKLYN #2 MEAT MARKET,4212,AVENUE D,,BROOKLYN,11203,6000,POINT (-73.936600189 40.641571638),4212 AVENUE D,brooklyn 2 meat market,No,No
QUEENS,631683,AC,SALAT MEAT & GROCERY CORP,C TOWN,75-43,METROPOLITAN AVE,,MIDDLE VILLAGE,11379,12000,POINT (-73.876069688 40.713178404),75-43 METROPOLITAN AVE,c town,Yes,Yes
QUEENS,630696,AC,PJ 37 FOOD CORP,C TOWN,85-08,37TH AVE,,JACKSON HEIGHTS,11372,15000,POINT (-73.88104703 40.749979066),85-08 37TH AVE,c town,Yes,Yes
NEW YORK,627102,AC,560 WEST MEAT&PRODUCE CORP,C TOWN,560,W 125TH ST,,NEW YORK,10027,9000,POINT (-73.957621834 40.814656262),560 W 125TH ST,c town,Yes,Yes
NEW YORK,624937,AC,PS MEAT CORP,C TOWN,238,WEST 116TH ST,,NEW YORK,10026,8000,POINT (-73.954287094 40.803794447),238 WEST 116TH ST,c town,Yes,Yes
KINGS,722996,AC,GWQ ROEBLING FOOD CORP,BROOKLYN BODEGA,340,ROEBLING STREET,,BROOKLYN,11211,200,POINT (-73.961229238 40.708228555),340 ROEBLING STREET,brooklyn bodega,No,Yes
KINGS,756545,AC,BROOKLYN BROMIX JUICE BAR & GRILL CORP,BROOKLYN BROMIX JUICE BAR & GRILL,116,GRAHAM AVENUE,,BROOKLYN,11206,,POINT (-73.942541952 40.705319029),116 GRAHAM AVENUE,brooklyn bromix juice bar grill,No,No
KINGS,742105,A,BROOKLYN CANDY GROCERY CORP,BROOKLYN CANDY GROCERY,1151,BRIGHTON BEACH AVE,,BROOKLYN,11235,1000,POINT (-73.955319414 40.577634362),1151 BRIGHTON BEACH AVE,brooklyn candy grocery,No,Yes
KINGS,738776,AC,BROOKLYN DELI & GROCERY INC,BROOKLYN DELI & GROCERY,1322,NOSTRAND AVE,,BROOKLYN,11226,,POINT (-73.950144841 40.654617022),1322 NOSTRAND AVE,brooklyn deli grocery,No,Yes
KINGS,756647,AC,1153 GOURMET MARKET CORP,BROOKLYN EMPORIUM GOURMET MARKET,1153,BROADWAY,,BROOKLYN,11221,,POINT (-73.928331525 40.693223314),1153 BROADWAY,brooklyn emporium gourmet market,No,Yes
KINGS,754800,AC,BROOKLYN FAMOUS DELI GROCERY INC,BROOKLYN FAMOUS DELI GROCERY,4701,AVENUE N,,BROOKLYN,11234,,POINT (-73.929619656 40.61891485),4701 AVENUE N,brooklyn famous deli grocery,No,Yes
NEW YORK,624928,AC,3632 FOOD CORP,C TOWN,3632,BROADWAY,,NEW YORK,10031,18000,POINT (-73.948027656 40.829307745),3632 BROADWAY,c town,Yes,Yes
KINGS,756036,AC,BROOKLYN FINEST DELI GROCERY INC,BROOKLYN FINEST DELI GROCERY,483,RALPH AVE,,BROOKLYN,11233,,POINT (-73.922083151 40.672659236),483 RALPH AVE,brooklyn finest deli grocery,No,Yes
KINGS,745439,AC,BROOKLYN FINEST MINI MARKET CORP,BROOKLYN FINEST MINI MARKET,8101,7TH AVE,,BROOKLYN,11228,,POINT (-74.019617743 40.62188372),8101 7TH AVE,brooklyn finest mini market,No,Yes
NEW YORK,623062,AC,DOWNTOWN FOOD CORP,C TOWN,5,ST JAMES PL,,NEW YORK,10038,5000,POINT (-74.000252697 40.71093964),5 ST JAMES PL,c town,Yes,Yes
KINGS,611538,AC,BROOKLYN GOURMET DELI CORP,BROOKLYN GOURMET DELI,313,BEDFORD AVE,,BROOKLYN,11211,1500,POINT (-73.962036415 40.713141985),313 BEDFORD AVE,brooklyn gourmet deli,No,Yes
NEW YORK,622587,AC,LINA FOOD CORP,C TOWN,4918-26,BROADWAY,,NEW YORK,10034,25000,POINT (-73.921765226 40.867335727),4918-26 BROADWAY,c town,Yes,Yes
KINGS,721222,AC,BROOKLYN KOSHER MEAT MARKET INC,BROOKLYN KOSHER MEAT MARKET,3604,NOSTRAND AVE,,BROOKLYN,11229,,POINT (-73.941253067 40.596216573),3604 NOSTRAND AVE,brooklyn kosher meat market,No,No
KINGS,758350,AC,GGJ&G FOOD CORP,BROOKLYN KRISP FOOD MARKET,800,ROCKAWAY AVENUE,,BROOKLYN,11212,11000,POINT (-73.908473204 40.660244883),800 ROCKAWAY AVENUE,brooklyn krisp food market,No,Yes
NEW YORK,621015,AC,3011 GROCERY INC,C TOWN,3320,BROADWAY,,NEW YORK,10031,20000,POINT (-73.955104749 40.819619396),3320 BROADWAY,c town,Yes,Yes
KINGS,714984,ABC,8102 FOOD CORP,BROOKLYN MARKET,8102,3RD AVE,,BROOKLYN,11209,2000,POINT (-74.029811059 40.626957664),8102 3RD AVE,brooklyn market,No,Yes
KINGS,732229,AC,BROOKLYN MINI MARKET INC,BROOKLYN MINI MARKET,350,NEW LOTS AVE,,BROOKLYN,11207,800,POINT (-73.89384913 40.661266595),350 NEW LOTS AVE,brooklyn mini market,No,Yes
KINGS,618051,A,BROOKLYN MINIMART INC,BROOKLYN MINIMART,1011,FOSTER AVE,,BROOKLYN,11230,1000,POINT (-73.967228836 40.632209387),1011 FOSTER AVE,brooklyn minimart,No,Yes
NEW YORK,620982,AC,KBC FOOD CORP,C TOWN,1721-27,1ST AVE,,NEW YORK,10128,24000,POINT (-73.948005025 40.779084051),1721-27 1ST AVE,c town,Yes,Yes
KINGS,756080,AC,BROOKLYN NATURAL MARKET V CORP,BROOKLYN NATURAL MARKET,2126-8,CATON  AVE,,BROOKLYN,11226,2500,POINT (-73.959679591 40.652718018),2126-8 CATON  AVE,brooklyn natural market,No,Yes
KINGS,617731,AC,LA CANA FOOD CORP,C TOWN,346,CENTRAL AVE,,BROOKLYN,11221,6500,POINT (-73.919819954 40.694914195),346 CENTRAL AVE,c town,Yes,Yes
KINGS,615555,AC,RANIA FOOD CORP,C TOWN,7924,FLATLANDS AVE,,BROOKLYN,11236,10000,POINT (-73.913363039 40.63527029),7924 FLATLANDS AVE,c town,Yes,Yes
KINGS,613180,AC,FRESH SUPERMARKET,C TOWN,1176,LIBERTY AVE,,BROOKLYN,11208,6000,POINT (-73.865736143 40.678810003),1176 LIBERTY AVE,c town,Yes,Yes
NEW YORK,735643,AC,BROOKLYN ROYAL SUSHI INC,BROOKLYN ROYAL SUSHI,731,"9TH AVE, B/T 49TH ST&50TH ST",AMISH MARKET,NEW YORK,10019,,POINT (-73.989394025 40.762857986),"731 9TH AVE, B/T 49TH ST&50TH ST",brooklyn royal sushi,No,No
KINGS,747543,AC,EXCLUSIVE STURGEON CAVIAR LLC,BROOKLYN SEAFOOD COMPANY,282-A,BRIGHTON BEACH AVE,,BROOKLYN,11235,,POINT (-73.964569678 40.576783088),282-A BRIGHTON BEACH AVE,brooklyn seafood company,No,No
KINGS,612165,AC,F&G SUPERMARKET CORP,C TOWN,2807,86TH ST,,BROOKLYN,11223,7000,POINT (-73.978605677 40.592929735),2807 86TH ST,c town,Yes,Yes
KINGS,708176,AC,GREEN AND HEALTHY STANDARD DELI & GROCER,BROOKLYN STANDARD DELI 2,766,GRAND ST,,BROOKLYN,11211,1000,POINT (-73.942546227 40.711662118),766 GRAND ST,brooklyn standard deli,No,Yes
KINGS,611913,AC,QUICK CHECK FOOD INC,C TOWN,6614,18TH AVE,,BROOKLYN,11204,10000,POINT (-73.991250952 40.618277993),6614 18TH AVE,c town,Yes,Yes
KINGS,748929,AC,BROOKLYN TIME DELI AND FOOD CORP,BROOKLYN TIME DELI AND FOOD,252,CENTRAL AVE,,BROOKLYN,11221,1200,POINT (-73.923230885 40.696860347),252 CENTRAL AVE,brooklyn time deli and food,No,Yes
KINGS,744373,AC,BROOKLYN WAY DELI CORP,BROOKLYN WAY DELI,142,UTICA AVE,,BROOKLYN,11213,,POINT (-73.930770324 40.674032234),142 UTICA AVE,brooklyn way deli,No,Yes
KINGS,760000,AC,BROOKLYNS FINEST DELI & GRILL CORP,BROOKLYN'S FINEST DELI & GRILL,1402,CORTELYOU RD,,BROOKLYN,11226,1500,POINT (-73.965132606 40.640732106),1402 CORTELYOU RD,brooklyns finest deli grill,No,Yes
KINGS,611142,AC,597 FOOD CORP,C TOWN,597,E 16TH ST,,BROOKLYN,11226,5000,POINT (-73.96230933 40.635645883),597 E 16TH ST,c town,Yes,Yes
KINGS,610124,AC,DAVID&SONS FOOD CORP,C TOWN,241,TAAFFE PL,,BROOKLYN,11205,8000,POINT (-73.959419931 40.690721367),241 TAAFFE PL,c town,Yes,Yes
KINGS,740656,AC,L AND R DELI GROCERY INC,BROSKI L AND R DELI GRO,234,TROY AVENUE,,BROOKLYN,11213,,POINT (-73.936576887 40.671617575),234 TROY AVENUE,broski l and r deli gro,No,Yes
BRONX,757692,AC,BROTHER FINEST DELI CORP,BROTHER FINEST DELI,6,W BURNSIDE AVE,,BRONX,10453,1000,POINT (-73.907855793 40.853724606),6 W BURNSIDE AVE,brother finest deli,No,Yes
BRONX,704697,AC,FLAMING MEAT WAREHOUSE CORP,BROTHER MEAT & MARKET,522,E 138TH ST,,BRONX,10454,1500,POINT (-73.918754949 40.80719532),522 E 138TH ST,brother meat market,No,Yes
BRONX,609927,AC,R&E CORP,C TOWN,809,SOUTHERN BLVD,,BRONX,10459,7500,POINT (-73.895813093 40.816964764),809 SOUTHERN BLVD,c town,Yes,Yes
BRONX,607841,AC,HJ FAMILY FOOD CORP,C TOWN,1580,UNION PORT RD,,BRONX,10462,12000,POINT (-73.86187921 40.839894298),1580 UNION PORT RD,c town,Yes,Yes
BRONX,605928,ABC,1040 SHERMAN AVENUE SUPERMKT INC,C TOWN,1040,SHERMAN AVE,,BRONX,10456,16000,POINT (-73.917858588 40.830200082),1040 SHERMAN AVE,c town,Yes,Yes
BRONX,608767,AC,BROTHERHOOD GOURMET DELI CORP,BROTHERHOOD GOURMET DEL,703,SOUTHERN BLVD,,BRONX,10455,1800,POINT (-73.89914951 40.813782867),703 SOUTHERN BLVD,brotherhood gourmet del,No,Yes
BRONX,605400,AC,FAMA FOOD CORP,C TOWN,2276,CRESTON AVE,,BRONX,10453,5000,POINT (-73.901121534 40.857281479),2276 CRESTON AVE,c town,Yes,Yes
BRONX,731243,AC,BROTHERS BRONXWOOD DELI GROCERY CORP,BROTHERS BRONXWOOD DELI GROCERY,3846,BRONXWOOD AVENUE,,BRONX,10469,800,POINT (-73.855987067 40.88329441),3846 BRONXWOOD AVENUE,brothers bronxwood deli grocery,No,Yes
BRONX,603904,AC,RIVERDALE MEAT&PRODUCE CORP,C TOWN,5249,BROADWAY,,BRONX,10463,8000,POINT (-73.908582923 40.8757354),5249 BROADWAY,c town,Yes,Yes
BRONX,748558,AC,BROTHERS CONVENIENCE STORE INC,BROTHERS CONVENIENCE STORE,1461,SOUTHERN BLVD,,BRONX,10460,1400,POINT (-73.890834411 40.832586955),1461 SOUTHERN BLVD,brothers convenience store,No,No
KINGS,617208,AC,OMAR YASSER A,BROTHERS DELI #2,669,E 98TH ST,,BROOKLYN,11236,1000,POINT (-73.909935594 40.653545773),669 E 98TH ST,brothers deli,No,Yes
QUEENS,753964,AC,BROTHERS DELI & MINI MARKET CORP,BROTHERS DELI&MINI MKT,35-59,99TH ST,,CORONA,11368,1500,POINT (-73.868113921 40.752423313),35-59 99TH ST,brothers delimini mkt,No,Yes
BRONX,603276,AC,BOSTON POST FOOD CORP,C TOWN,4008-4010,BOSTON POST RD,,BRONX,10475,15000,POINT (-73.832115097 40.884528059),4008-4010 BOSTON POST RD,c town,Yes,Yes
QUEENS,741702,AC,APEX GROCERY INC,BROTHERS GROCERY,68-10,ROOSEVELT AVE,,WOODSIDE,11377,,POINT (-73.89699578 40.746142501),68-10 ROOSEVELT AVE,brothers grocery,No,Yes
BRONX,600049,AC,NANIN FOOD CORP,C TOWN,2733,3RD AVE,,BRONX,10451,10000,POINT (-73.921192323 40.814343994),2733 3RD AVE,c town,Yes,Yes
QUEENS,637903,AC,CALVI SUPERMARKET INC,C TOWN 024,107-66,CROSSBAY BLVD,,OZONE PARK,11417,15000,POINT (-73.843121357 40.674703434),107-66 CROSSBAY BLVD,c town,Yes,Yes
QUEENS,752091,AC,BROTHERS MARKET CORP,BROTHERS MARKET,87-22,PARSONS BLVD,,JAMAICA,11432,900,POINT (-73.803576116 40.70849225),87-22 PARSONS BLVD,brothers market,No,Yes
QUEENS,630536,AC,BAYCHESTER SUPERMARKET CORP,C TOWN 041023,98-02,JAMAICA AVE,,WOODHAVEN,11421,25000,POINT (-73.847432497 40.694735325),98-02 JAMAICA AVE,c town,Yes,Yes
NEW YORK,732293,AC,BROTHERS MINI MARKET INC,BROTHERS MINI MARKET,23,AVE D,,NEW YORK,10009,,POINT (-73.978280962 40.720843738),23 AVE D,brothers mini market,No,Yes
QUEENS,635507,AC,TANIA&LEENA LLC,C TOWN 041069,110-14,FARMERS BLVD,,ST ALBANS,11412,8000,POINT (-73.766870505 40.702886978),110-14 FARMERS BLVD,c town,Yes,Yes
BRONX,609834,AC,JSMD FOOD CORP,C TOWN 054,100,HUGH J GRANT CIRCLE,,BRONX,10472,8000,POINT (-73.860873549 40.832508291),100 HUGH J GRANT CIRCLE,c town,Yes,Yes
KINGS,613032,AC,D&L FOOD CORP,C TOWN 202,239,BOND ST,,BROOKLYN,11217,6000,POINT (-73.987999612 40.682078149),239 BOND ST,c town,Yes,Yes
KINGS,732754,AC,BROWNSVILLE DELI & GROCERY INC,BROWNSVILLE DELI & GROCERY,784,SARATOGA AVENUE,,BROOKLYN,11212,1600,POINT (-73.915594217 40.661388091),784 SARATOGA AVENUE,brownsville deli grocery,No,Yes
KINGS,748288,AC,BROWNSVILLE GOURMET DELI PLUS CORP,BROWNSVILLE GOURMET DELI PLUS,489,ROCKAWAY AVE,,BROOKLYN,11212,2000,POINT (-73.909961075 40.667923754),489 ROCKAWAY AVE,brownsville gourmet deli plus,No,Yes
KINGS,610967,AC,T&T FOOD CORP,C TOWN 207,146,E 98TH ST,,BROOKLYN,11212,7000,POINT (-73.92138737 40.663266098),146 E 98TH ST,c town,Yes,Yes
KINGS,730465,AC,BROWNSVILLE MARKET CORP,BROWNSVILLE MARKET,245,RIVERDALE AVE,,BROOKLYN,11212,800,POINT (-73.908179418 40.661190236),245 RIVERDALE AVE,brownsville market,No,Yes
KINGS,617812,AC,IMMORTAL RISE INC,C TOWN 41484,4705,5TH AVE,,BROOKLYN,11220,5000,POINT (-74.008620518 40.646547932),4705 5TH AVE,c town,Yes,Yes
QUEENS,740409,AC,NNH MARKETS CORP,C TOWN FRESH,31-18,24TH AVENUE,,ASTORIA,11102,,POINT (-73.915123909 40.771710491),31-18 24TH AVENUE,c town fresh,No,Yes
BRONX,758103,AC,BRUCKNER JUICE BAR & GROCERY INC,BRUCKNER JUICE BAR & GROCERY,1616,BRUCKNER BLVD,,BRONX,10473,1000,POINT (-73.874666138 40.822599205),1616 BRUCKNER BLVD,bruckner juice bar grocery,No,Yes
RICHMOND,747447,AC,FAM27 LLC,BRUZZESES ITALIAN GOURMET,27,SEGUINE AVE,,STATEN ISLAND,10309,2500,POINT (-74.200742792 40.525725018),27 SEGUINE AVE,bruzzeses italian gourmet,No,Yes
KINGS,753344,AC,BRYAN GOURMET DELI INC,BRYAN GOURMET DELI,2932,PITKIN AVE,,BROOKLYN,11208,,POINT (-73.863699759 40.676370617),2932 PITKIN AVE,bryan gourmet deli,No,Yes
BRONX,758054,AC,BRONXDALE VEGS & MEAT CORP,C TOWN OF MORRIS PARK,1859,BRONXDALE AVE,,BRONX,10462,,POINT (-73.860340125 40.84784491),1859 BRONXDALE AVE,c town of morris park,No,Yes
BRONX,749746,AC,BRYANT DELI CORP,BRYANT DELI,1766,BRYANT,,BRONX,10460,750,POINT (-73.88489206 40.83661337),1766 BRYANT,bryant deli,No,Yes
NEW YORK,626151,AC,1017 FRUIT & VEGTABLE CORP,BRYANT MARKET,1017,AVENUE OF THE AMERICAS,,NEW YORK,10018,2500,POINT (-73.9861856 40.752310912),1017 AVENUE OF THE AMERICAS,bryant market,No,Yes
KINGS,756404,AC,NOURES FOOD CORP,C TOWN SUPERMARKET,1761,NOSTRAND AVE,,BROOKLYN,11226,,POINT (-73.948548843 40.642799209),1761 NOSTRAND AVE,c town supermarket,Yes,Yes
KINGS,613012,A,JC CHANG CORP,BUCKLEY'S MARKET,251,NASSAU AVE,,BROOKLYN,11222,1000,POINT (-73.941945161 40.725959172),251 NASSAU AVE,buckleys market,No,Yes
QUEENS,755517,A,JANAVI INC,BUDDHA GROCERY,39-43,48TH AVE,,SUNNYSIDE,11104,,POINT (-73.925278082 40.740119601),39-43 48TH AVE,buddha grocery,No,Yes
KINGS,754588,AC,BUDDY GOURMET DELI CORP,BUDDY GOURMET DELI,1079,NOSTRAND AVE,,BROOKLYN,11225,,POINT (-73.950580868 40.661705095),1079 NOSTRAND AVE,buddy gourmet deli,No,Yes
KINGS,613096,AC,CORTEZ ALMADELIA LAZARO,BUENA VISTA DELI GRCY,152,KNICKERBOCKER AVE,,BROOKLYN,11237,800,POINT (-73.928141004 40.704254988),152 KNICKERBOCKER AVE,buena vista deli grcy,No,Yes
BRONX,751208,AC,BUENA VISTA DELI GROCERY CORP,BUENA VISTA DELI GROCERY,650-652,PROSPECT AVE,,BRONX,10455,2000,POINT (-73.903093698 40.815565908),650-652 PROSPECT AVE,buena vista deli grocery,No,Yes
QUEENS,757597,AC,BUENO 111 GROCERY CORP,BUENO 111 GROCERY,125-06,111TH AVE,,SOUTH OZONE PARK,11420,,POINT (-73.815650416 40.681993408),125-06 111TH AVE,bueno 111 grocery,No,Yes
QUEENS,746484,AC,6401 MEAT & PRODUCE CORP,C TOWN SUPERMARKET,64-01,FRESH POND RD,,RIDGEWOOD,11385,15000,POINT (-73.89911791 40.710248677),64-01 FRESH POND RD,c town supermarket,Yes,Yes
KINGS,730121,AC,BUGA DELI GROCERY CORP,BUGA DELI GROCERY,187,BUFFALO AVE,,BROOKLYN,11213,1100,POINT (-73.925029139 40.672825994),187 BUFFALO AVE,buga deli grocery,No,Yes
BRONX,726338,AC,BUHRE FISH MARKET INC,BUHRE FISH MARKET,3035,BUHRE AVENUE,,BRONX,10461,1000,POINT (-73.831202031 40.8475541),3035 BUHRE AVENUE,buhre fish market,No,No
BRONX,609383,A,PAVAN NEW YORK INC,BUHRE GROCERY,2875,BUHRE AVE,,BRONX,10461,600,POINT (-73.833184267 40.847346271),2875 BUHRE AVE,buhre grocery,No,Yes
BRONX,713515,AC,BUHRE MINI MART & DELI CORP,BUHRE MINI MART & DELI,3058,BUHRE AVE,,BRONX,10461,2000,POINT (-73.83059671 40.847570252),3058 BUHRE AVE,buhre mini mart deli,No,Yes
KINGS,752113,AC,BUKHARI INC,BUKHARI GROCERY & HALAL,750,CONEY ISLAND AVE,,BROOKLYN,11218,800,POINT (-73.968976715 40.639241133),750 CONEY ISLAND AVE,bukhari grocery halal,No,Yes
QUEENS,745494,AC,CROWN ROSARIO GROUP INC,C TOWN SUPERMARKET,115-34,SUTPHIN BLVD,,JAMAICA,11434,6000,POINT (-73.792722474 40.683922335),115-34 SUTPHIN BLVD,c town supermarket,Yes,Yes
KINGS,613430,AC,BURGOS LUIS A,BURGOS GROCERY,762,CLASSON AVE,,BROOKLYN,11238,1000,POINT (-73.960601936 40.673842635),762 CLASSON AVE,burgos grocery,No,Yes
BRONX,742478,AC,JML&J FOOD CORP,C TOWN SUPERMARKET,229,E.TREMONT AVE,,BRONX,10457,15000,POINT (-73.904645105 40.849145027),229 E.TREMONT AVE,c town supermarket,Yes,Yes
BRONX,727962,AC,BURKE CANDY & CONVENIENCE CORP,BURKE CANDY & CONVENIENCE,702,BURKE AVENUE,,BRONX,10467,900,POINT (-73.866940119 40.871296428),702 BURKE AVENUE,burke candy convenience,No,No
BRONX,758391,AC,BUS STOP MINI MARKET 1 CORP,BUS STOP MINI MARKET 1,271,E 206TH STREET,,BRONX,10467,,POINT (-73.87995403 40.87504536),271 E 206TH STREET,bus stop mini market,No,Yes
KINGS,616151,AC,BUSH DELI CORP,BUSH DELI,507,CLINTON ST,,BROOKLYN,11231,1200,POINT (-73.99984433 40.67856215),507 CLINTON ST,bush deli,No,Yes
KINGS,714453,ABH,BUSHWICK BAKERY CORP,BUSHWICK BAKERY,127,CENTRAL AVE,,BROOKLYN,11221,2200,POINT (-73.928073949 40.699890908),127 CENTRAL AVE,bushwick bakery,No,No
KINGS,717263,AC,BUSHWICK DELI GROCERY CORP,BUSHWICK DELI GROCERY,285,BUSHWICK AVE,,BROOKLYN,11206,800,POINT (-73.939471829 40.706425524),285 BUSHWICK AVE,bushwick deli grocery,No,Yes
KINGS,750462,AC,BUSHWICK GOURMET DELI INC,BUSHWICK GOURMET DELI,350,IRVING AVENUE,,BROOKLYN,11237,1000,POINT (-73.912521579 40.697833738),350 IRVING AVENUE,bushwick gourmet deli,No,Yes
BRONX,739700,AC,MASK GROCERY LLC,C TOWN SUPERMARKET,5686,MOSHOLU AVENUE,,BRONX,10471,,POINT (-73.901069385 40.90528098),5686 MOSHOLU AVENUE,c town supermarket,Yes,Yes
KINGS,611454,AC,BUSHWICK GROCERY FOOD CORP,BUSHWICK GROCERY FOOD,1124,BUSHWICK AVE,,BROOKLYN,11221,1500,POINT (-73.918425624 40.689449194),1124 BUSHWICK AVE,bushwick grocery food,No,Yes
KINGS,755084,AC,BUSHWICK ORGANIC DELI CORP,BUSHWICK ORGANIC DELI,1222,BUSHWICK AVE,,BROOKLYN,11221,,POINT (-73.915422304 40.687737316),1222 BUSHWICK AVE,bushwick organic deli,No,Yes
QUEENS,735128,AC,T & K SUPERMARKET LLC,C TOWN SUPERMARKET,195-09,JAMAICA AVE,,HOLLIS,11423,7000,POINT (-73.765689076 40.713433675),195-09 JAMAICA AVE,c town supermarket,Yes,Yes
BRONX,714185,AC,AV FOOD CORP,C TOWN SUPERMARKET,630,E 169TH ST,,BRONX,10456,5000,POINT (-73.901083718 40.831209012),630 E 169TH ST,c town supermarket,Yes,Yes
QUEENS,636557,AC,M&N MEATS INC,BUTCHERS BLOCK THE,43-46,41ST STREET,,SUNNYSIDE,11104,0,POINT (-73.923374048 40.74414216),43-46 41ST STREET,butchers block the,No,No
BRONX,607837,AC,HUB MEAT MARKET LLC,BUTCHERS CHOICE THE,448,E 149TH ST,,BRONX,10455,1400,POINT (-73.915655154 40.815053606),448 E 149TH ST,butchers choice the,No,No
NEW YORK,623286,AC,TALA FOOD MARKET INC,BUTTERFIELD MARKET,1114,LEXINGTON AVE,,NEW YORK,10075,5000,POINT (-73.959659056 40.774167772),1114 LEXINGTON AVE,butterfield market,No,Yes
NEW YORK,744790,AC,BUTTERFIELD MARKET GROUP INC,BUTTERFIELD MARKET MADISON,1150,MADISON AVENUE,,NEW YORK,10028,,POINT (-73.959083387 40.780744129),1150 MADISON AVENUE,butterfield market madison,No,Yes
RICHMOND,710460,AC,RIZKA FOOD CORPORATION,C TOWN SUPERMARKET,2071,CLOVE RD SUITE F & U,,STATEN ISLAND,10304,7000,POINT (-74.08292961 40.605136552),2071 CLOVE RD SUITE F & U,c town supermarket,Yes,Yes
NEW YORK,628279,AC,RSJ GROUP CORP,BUTTERFIELD SUSHI,1150,MADISON AVE,,NEW YORK,10028,50,POINT (-73.959083387 40.780744129),1150 MADISON AVE,butterfield sushi,No,No
BRONX,754531,AC,BUY & BUY DELI CORP,BUY & BUY DELI,798,LYDIG AVE,,BRONX,10462,1000,POINT (-73.864029671 40.854341682),798 LYDIG AVE,buy buy deli,No,Yes
KINGS,759042,AC,BUY & GO GROCERY INC,BUY & GO GROCERY,2053,PITKIN AVE,,BROOKLYN,11207,,POINT (-73.89670937 40.67190168),2053 PITKIN AVE,buy go grocery,No,Yes
KINGS,611176,AC,BUY BEST GROCERY INC,BUY BEST GROCERY,4516,8TH AVE,,BROOKLYN,11220,1600,POINT (-74.00128585 40.6436576),4516 8TH AVE,buy best grocery,No,Yes
KINGS,705109,AC,57JR FOODS CORP,C TOWN SUPERMARKET,57,MILL ST,,BROOKLYN,11231,6000,POINT (-74.004278525 40.676131607),57 MILL ST,c town supermarket,Yes,Yes
QUEENS,753234,AC,BUY BUY DELI & GRILL CORP,BUY BUY DELI & GRILL,112-01,ROCKAWAY BLVD,,SOUTH OZONE PARK,11420,2000,POINT (-73.826356118 40.677462654),112-01 ROCKAWAY BLVD,buy buy deli grill,No,Yes
