County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
KINGS,763133,Store,A,SKILLMART INC,SKILLMART,1010,BEDFORD AVE,,,BROOKLYN,NY,11205,,POINT (-73.955486796 40.690346184)
BRONX,763132,Store,A,ARDENT PHARMACY INC,BENJAMINS PHARMACY & SURGICAL,987-989,ALLERTON AVE,,,BRONX,NY,10469,,POINT (-73.858823252 40.865713996)
BRONX,763012,Store,A,BALDE FAMILY GENERAL MERCHANDISING LLC,BALDE FAMILY GENERAL MERCHANDISING,756,BURKE AVENUE,,,BRONX,NY,10467,,POINT (-73.864832322 40.871259212)
BRONX,763011,Store,A,ESTRELLA MEATS FRUITS & GROCERY 2 CORP,ESTRELLA MEATS FRUITS & GROCERY 2,350,E GUN HILL RD,,,BRONX,NY,10467,,POINT (-73.872836453 40.878631389)
QUEENS,762997,Store,A,HUA-TE NY INC,HUA-TE NY,42-14,MAIN  ST,,,FLUSHING,NY,11355,,POINT (-73.828313124 40.754958503)
BRONX,762996,Store,A,ALEX CANDY STORE CORP,ALEX CANDY STORE,1373A,OGDEN AVE,,,BRONX,NY,10452,,POINT (-73.924682128 40.841954234)
NEW YORK,762984,Store,A,LUXURY GREENS LLC,LUXURY GREENS,1330,5TH AVE STORE 5,,,NEW YORK,NY,10026,,POINT (-73.948736514 40.797872758)
NEW YORK,762969,Store,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON NEWS STORE #210,,MAIN AMTRAK LEVEL B,PENN STATION,,NEW YORK,NY,10001,,POINT (-73.9926754 40.7482307)
NEW YORK,762966,Store,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON NEWS STORE #211,,33RD ST & 8TH AVE,PENN STATION,,NEW YORK,NY,10001,,POINT (-73.9926754 40.7482307)
NEW YORK,762964,Store,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON NEWS STORE #212,,33RD ST & 8TH AVE,PENN STATION,,NEW YORK,NY,10001,,POINT (-73.9926754 40.7482307)
QUEENS,762948,Store,AC,124 LIBERTY LLC,APNA BAZAR FARMERS MARKET,124-16,LIBERTY AVE,,,SOUTH RICHMOND HILL,NY,11419,2000,POINT (-73.819525202 40.687909397)
QUEENS,762905,Store,A,SINGHS FISH & GROCERY,SINGHS FISH & MEAT,125-20,111TH AVE,,,SOUTH OZONE PARK,NY,11420,1000,POINT (-73.815231069 40.682090093)
BRONX,762887,Store,A,SANAA DISCOUNT INC,SANAA DISCOUNT,778,MORRIS PARK AVE,,,BRONX,NY,10462,,POINT (-73.863157031 40.845684139)
NEW YORK,762819,Store,A,CRH RX CORP,QUISQUEYA PHARMACY,174,AUDUBON AVE,,,NEW YORK,NY,10033,,POINT (-73.935993171 40.84400428)
NEW YORK,762814,Store,A,FRAICHE CORP,FRAICHE,30,VANDAM ST,,,NEW YORK,NY,10013,,POINT (-74.004957962 40.726273032)
NEW YORK,762771,Store,A,PITKIN SUPER DEALS INC,USA SUPER STORE,441,2ND AVE,,,NEW YORK,NY,10010,,POINT (-73.980010652 40.739433752)
KINGS,762743,Store,A,NEW STAR GROCERY STORE INC,NEW STAR GROCERY STORE,2115,E 15TH STREET,,,BROOKLYN,NY,11229,1000,POINT (-73.956058358 40.598436059)
KINGS,762732,Store,AC,ADAM DELI GROCERY II CORP,ADAM DELI GROCERY II,863,FLATBUSH AVE,,,BROOKLYN,NY,11226,1000,POINT (-73.958722546 40.651107855)
NEW YORK,762712,Store,A,1923 GCT LLC,LI-LAC CHOCOLATES,89,E 42ND ST,MKT-17B GRAND CENTRAL MARKET,,NEW YORK,NY,10017,,POINT (-73.9774131 40.752368369)
NEW YORK,762695,Store,A,CW PROJECTS LLC,LOCAVORE VARIETY STORE,434,6TH AVENUE STORE # 4,,,NEW YORK,NY,10011,,POINT (-73.998789293 40.734579508)
QUEENS,762684,Store,AC,AI MART CP INC,AI MART,132-19,14TH AVE,,,COLLEGE POINT,NY,11356,,POINT (-73.835518041 40.787378867)
QUEENS,762661,Store,A,YING FU MARKET INC,YING FU MARKET,42-35,MAIN ST #1P4,,,FLUSHING,NY,11355,,POINT (-73.827736114 40.754566105)
KINGS,762660,Store,A,WONDER 7TH GROCERY INC,WONDER 7TH GROCERY,5120,7TH AVENUE,,,BROOKLYN,NY,11220,,POINT (-74.007115212 40.641489076)
RICHMOND,762604,Store,A,ALDI INC,ALDI #147,3231,RICHMOND AVE,,,STATEN ISLAND,NY,10312,,POINT (-74.168832383 40.559651233)
BRONX,762597,Store,A,JOSE MINI MARKET INC,JOSE MINI MARKET,549,SOUTHERN BLVD,,,BRONX,NY,10455,,POINT (-73.903659812 40.81244499)
RICHMOND,762576,Store,AC,PURNIMA CONVENIENCE STORE INC,PAPA JOES DELI,280,MORNING STAR ROAD,,,STATEN ISLAND,NY,10303,1200,POINT (-74.146961064 40.63137237)
RICHMOND,762566,Store,ADK,NEW NAN FONG HONG TRADING INC,NEW NAN FONG HONG TRADING,21 & 27,SYLVATON TERRACE,,,STATEN ISLAND,NY,10305,12000,POINT (-74.067118379 40.617185473)
QUEENS,762551,Store,A,ERIC CONVENIENCE STORE INC,ERIC CONVENIENCE STORE,102-06,43RD AVE,,,CORONA,NY,11368,,POINT (-73.862480611 40.747044562)
KINGS,762545,Store,A,YOLANDA GROCERY STORE INC,YOLANDA GROCERY STORE,2428,PITKIN,,,BROOKLYN,NY,11208,,POINT (-73.882777474 40.6737172)
KINGS,762540,Store,AC,ZEENA BAKERY LLC,ZEENA BAKERY,999,ATLANTIC AVE,-C/O COOK COLLECTIVE/APIARI KITCHEN,,BROOKLYN,NY,11238,50,POINT (-73.959124626 40.680199303)
KINGS,762524,Store,AC,513 DELI & GRILL INC,513 DELI & GRILL,513,5TH AVE,,,BROOKLYN,NY,11215,1200,POINT (-73.988090555 40.666816756)
BRONX,762506,Store,A,LA FARMA LLC,A1 HEALTH PHARMACY,1003,OGDEN AVE,,,BRONX,NY,10452,,POINT (-73.929434332 40.833118284)
QUEENS,762493,Store,AC,G MART NY INC,G MART NY,75-01,BROADWAY,,,ELMHURST,NY,11373,,POINT (-73.890044752 40.74624057)
BRONX,762487,Store,AC,CASITA MARIA DELI CORP,CASITA MARIA DELI,1020-1022,EAST 163RD STREET,,,BRONX,NY,10459,,POINT (-73.892223543 40.82082354)
QUEENS,762482,Store,AC,NEW ARIA CORP,NEW ARIA,100-27,METROPOLITAN AVENUE,,,FOREST HILLS,NY,11375,,POINT (-73.852272711 40.710797608)
NEW YORK,762463,Store,AC,YUMMILICIOUS DELI #3 CORP,YUMMILICIOUS DELI #3,23,E 115TH ST,,,NEW YORK,NY,10029,2200,POINT (-73.945715927 40.799588031)
RICHMOND,762461,Store,AC,ATJ ENTERPRISE INC,ATJ ENTERPRISE,1077,BAY ST,SUITE 6,,STATEN ISLAND,NY,10305,1300,POINT (-74.067660297 40.617130511)
QUEENS,762447,Store,AC,CLOUD MUNCHIES CORP,CLOUD MUNCHIES,251-16,NORTHERN BLVD,,,LITTLE NECK,NY,11362,500,POINT (-73.736468923 40.769202668)
BRONX,762444,Store,AC,80 BRONX FINEST MARKET INC,80 BRONX FINEST MARKET,2109,SOUTHERN BLVD,,,BRONX,NY,10460,1750,POINT (-73.884575895 40.846262155)
QUEENS,762422,Store,A,CLOUD GROCERY INC,CLOUD GROCERY,14118,NORTHERN BLVD,,,FLUSHING,NY,11354,,POINT (-73.825124313 40.764310486)
KINGS,762406,Store,AC,TREE OF LIFE RX INC,TREE OF LIFE RX,2472,CONEY ISLAND AVENUE,,,BROOKLYN,NY,11223,1500,POINT (-73.961256311 40.596595854)
BRONX,762381,Store,AC,77 SWIPER DELI CORP,77 SWIPER DELI,2742,E TREMONT AVE,,,BRONX,NY,10461,,POINT (-73.844577369 40.842040736)
BRONX,762380,Store,AC,MUNCHIES DELI CORP,MUNCHIES DELI,500,BAYCHESTER AVE,,,BRONX,NY,10475,,POINT (-73.831540073 40.869229911)
BRONX,762372,Store,AC,4158 MEAT MARKET INC,4158 MEAT MARKET,4158,WHITE PLAINS RD,,,BRONX,NY,10466,,POINT (-73.857756487 40.892324443)
RICHMOND,762364,Store,A,A&H PELTON CONVENIENCE CORP,A&H PELTON CONVENIENCE,607,FOREST AVE,,,STATEN ISLAND,NY,10310,1200,POINT (-74.109521701 40.630129208)
QUEENS,762359,Store,AC,SAMARKAND UZ INC,SAMARKAND UZ,62-02A,WOODHAVEN BLVD,,,REGO PARK,NY,11374,3000,POINT (-73.865554381 40.720505515)
BRONX,762350,Store,AC,LA TIA DELI GROCERY INC,LA TIA DELI GROCERY,253,E 188TH STREET,,,BRONX,NY,10458,900,POINT (-73.896114423 40.861061579)
NEW YORK,762299,Store,A,METZ CULINARY MANAGEMENT LLC,MARKET@MARYMOUNT MANHATTAN COLLEGE DORM,231,E 55TH ST,,,NEW YORK,NY,10022,,POINT (-73.967080644 40.758510838)
QUEENS,762293,Store,AC,EAST ASIAN FOOD CORPORATION,EAST ASIAN FOOD,2802,42ND RD,,,LONG ISLAND CITY,NY,11101,,POINT (-73.939499363 40.748682849)
KINGS,762276,Store,AC,SAJOMA GRILL AND DELI CORP,SAJOMA GRILL AND DELI,442,MARCUS GARVEY BLVD,,,BROOKLYN,NY,11216,,POINT (-73.937960991 40.681832685)
KINGS,762273,Store,AC,GARCIAS GROCERY NY CORP,GARCIAS GROCERY NY,1201,FOSTER AVE,,,BROOKLYN,NY,11230,,POINT (-73.965556228 40.633043638)
QUEENS,762258,Store,ABC,SAHUAYO BAKERY CORP,SAHUAYO BAKERY,90-43,CORONA AVE,,,ELMHURST,NY,11373,2500,POINT (-73.874227011 40.742247012)
RICHMOND,762226,Store,AC,DORP LANE DELI INC,DORP LANE DELI,360,NEW DORP LANE,,,STATEN ISLAND,NY,10306,2000,POINT (-74.110675051 40.570838307)
KINGS,762224,Store,AC,2800 CIA RETAIL CORP,7-ELEVEN STORE #27167B,2800,CONEY ISLAND AVENUE,,,BROOKLYN,NY,11235,,POINT (-73.960840988 40.588223757)
BRONX,762217,Store,AC,FRESH & TASTY SUSHI INC,FRESH & TASTY SUSHI,2870,WEBSTER AVE,,,BRONX,NY,10458,,POINT (-73.883906865 40.866966692)
BRONX,762215,Store,AC,JIMENEZ AMABLE,PELLE MEAT & PRODUCE MARKET,931,EAST 174TH STREET,,,BRONX,NY,10460,,POINT (-73.886980663 40.837266865)
NEW YORK,762201,Store,AC,NY HARVEST TRADING INC,EVERFRESH SUSHI,227,CHERRY ST,,,NEW YORK,NY,10002,,POINT (-73.991059928 40.7108883)
KINGS,762200,Store,AC,NICK&SONS BAKERY LLC,NICK&SONS BAKERY,892,LORIMER ST,,,BROOKLYN,NY,11222,,POINT (-73.951341693 40.723202364)
RICHMOND,762172,Store,AC,AOK 1139 INC,EDIBLE ARRANGEMENTS #1139,1854,HYLAN BLVD,,,STATEN ISLAND,NY,10305,1200,POINT (-74.094840546 40.58384195)
NEW YORK,762168,Store,AC,BONNES SAVEURS LLC,BONNES SAVEURS,196,STANTON ST,-C/O NIMBUS SHARED KITCHEN,,NEW YORK,NY,10002,,POINT (-73.98301833 40.719884471)
KINGS,762165,Store,AC,MR AVOCADO DELI & GRILL CORPORATION,MR AVOCADO DELI & GRILL,176,CENTRAL AVE,,,BROOKLYN,NY,11221,,POINT (-73.926608541 40.698782862)
BRONX,762164,Store,AC,MACCA HALAL MARKET 2 INC,ALMADENAH HALAL MEAT MA,869,MORRIS PARK AVE,,,BRONX,NY,10462,2500,POINT (-73.86008322 40.846642107)
KINGS,762157,Store,AC,BISMILLAH BROOKLYN LLC,BISMILLAH BROOKLYN,1404,NOSTRAND AVE,,,BROOKLYN,NY,11226,2000,POINT (-73.949882488 40.652208398)
NEW YORK,762148,Store,AC,MANHATTAN 1 DELI GRILL AND JUICE BAR COR,MANHATTAN 1 DELI GRILL,59,STANTON ST,,,NEW YORK,NY,10002,1400,POINT (-73.99019961 40.721886782)
KINGS,762130,Store,AC,GERMANN AMY,ELDERBERRY ROAD,999,ATLANTIC AVE,-C/O COOK COLLECTIVE/APIARI KITCHEN,,BROOKLYN,NY,11238,1000,POINT (-73.959124626 40.680199303)
KINGS,762129,Store,AC,RIRONY LLC,ANNN,999,ATLANTIC AVE,-C/O COOK COLLECTIVE/APIARI KITCHEN,,BROOKLYN,NY,11238,1000,POINT (-73.959124626 40.680199303)
KINGS,762126,Store,A,SUN FAR INC,SUN FAR,1407,WEST 8TH STREET,,,BROOKLYN,NY,11204,,POINT (-73.982373846 40.61247604)
KINGS,762117,Store,AC,PINEAPPLE MINIMARKET CORP,PINEAPPLE MINIMARKET,470,KINGS HWY,,,BROOKLYN,NY,11223,1200,POINT (-73.97265461 40.604119282)
KINGS,762105,Store,AC,ABU ALI DELI & GRILL CORPORATION,ABU ALI DELI & GRILL,1537,DEKLAB AVE,,,BROOKLYN,NY,11237,,POINT (-73.921202968 40.702460171)
QUEENS,762104,Store,A,SUTPHIN BANGLA BAZAR CORP,SUTPHIN BANGLA BAZAR,107-57,SUTPHIN BLVD,,,JAMAICA,NY,11435,,POINT (-73.799503769 40.693313)
RICHMOND,762097,Store,ABC,GUYON BAGEL DELI & GROCERY INC,GUYON BAGEL DELI & GROCERY,99,GUYON AVENUE,,,STATEN ISLAND,NY,10306,1500,POINT (-74.127399881 40.564864776)
BRONX,762092,Store,A,ALLYSSIA DISCOUNTS CORP,ALLYSSIA DISCOUNTS,172,W FORDHAM RD,,,BRONX,NY,10468,,POINT (-73.908548473 40.862622583)
KINGS,762091,Store,AC,J & B FRUIT MARKET CORP,J & B FRUIT MARKET,182,AVENUE U,,,BROOKLYN,NY,11223,2000,POINT (-73.977259208 40.596412039)
BRONX,762090,Store,A,FOOD STOP DELI CORP,FOOD STOP DELI,545,E 137TH ST,,,BRONX,NY,10454,,POINT (-73.91844683 40.806469825)
QUEENS,762079,Store,AC,RAPHAEL DELI CORP,RAPHAEL DELI,48-19,25TH AVE,,,ASTORIA,NY,11103,800,POINT (-73.904632783 40.764803384)
QUEENS,761998,Store,AC,A&R INTERNATIONAL MARKET LLC,A&R INTERNATIONAL MARKET,63-37,108TH STREET,,,FOREST HILLS,NY,11375,9500,POINT (-73.849968861 40.734010786)
BRONX,761990,Store,AC,CARNICERIA EL TORITO CORP,CARNICERIA EL TORITO,513,EAST 180TH STREET,,,BRONX,NY,10457,1200,POINT (-73.89431684 40.850991309)
KINGS,761948,Store,AC,LINDEN DELI AND GRILL 2 INC,LINDEN DELI AND GRILL 2,2602,LINDEN BLVD,,,BROOKLYN,NY,11208,,POINT (-73.868712389 40.668298342)
KINGS,761945,Store,AC,ALEX DELI GROCERY 2 INC,ALEX DELI GROCERY 2,2,SUTTER AVE,,,BROOKLYN,NY,11212,,POINT (-73.922844731 40.665168371)
BRONX,761943,Store,AC,WICKHAM MINI MARKET CORP,WICKHAM MINI MARKET,4400,WICKHAM AVE  STORE A,,,BRONX,NY,10466,,POINT (-73.850449898 40.898522316)
QUEENS,761941,Store,AC,GAZA DELI & GRILL CORP,GAZA DELI & GRILL,50-60,48TH ST,,,WOODSIDE,NY,11377,1200,POINT (-73.918519669 40.7355821)
NEW YORK,761939,Store,AC,LETS EAT FOOD COURT LLC,LETS EAT,339,E 115TH ST,,,NEW YORK,NY,10029,2200,POINT (-73.936429198 40.795666264)
BRONX,761933,Store,A,DREAMS 1 99C CORPORATION,99 CENT DREAMS,874,HUNTS POINT AVE,,,BRONX,NY,10474,,POINT (-73.889128831 40.818809116)
KINGS,761921,Store,A,DAFU GROCERY INC,DAFU GROCERY,5024,"8TH AVENUE, 1 FLOOR",,,BROOKLYN,NY,11220,,POINT (-74.004362009 40.640743925)
KINGS,761919,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #09508,559,FULTON ST,,,BROOKLYN,NY,11201,,POINT (-73.982366805 40.689607025)
KINGS,761910,Store,AC,LUCKY 7 BAGEL AND GRILL CORP,LUCKY 7 BAGEL AND GRILL,1608,AVENUE U,,,BROOKLYN,NY,11229,2000,POINT (-73.955104833 40.598861398)
QUEENS,761903,Store,AC,LOVE DELI & GROCERY INC,LOVE DELI AND GROCERY,39-43,48TH AVE,,,SUNNYSIDE,NY,11104,,POINT (-73.925278082 40.740119601)
NEW YORK,761899,Store,AC,SANTOS GOURMET DELI AND GROCERY CORP,SANTOS GOURMET DELI AND GROCERY,4672,BROADWAY,,,NEW YORK,NY,10040,1100,POINT (-73.929629798 40.863162503)
QUEENS,761872,Store,AC,BAYSIDE BAGELS INC,BAYSIDE BAGELS & DELI,33-31,FRANCIS LEWIS BLVD,,,MASPETH,NY,11358,3000,POINT (-73.789783946 40.766692371)
KINGS,761869,Store,A,HOMEMADE TASTY CREATIONS LLC,A JESS COOKIE,276,CHESTNUT ST,-C/O CYPRESS HILLS KITCHEN,,BROOKLYN,NY,11208,,POINT (-73.875113397 40.681156684)
NEW YORK,761845,Store,AC,579 BREAD AND BUTTER CORP,579 BREAD AND BUTTER,579,MAIN STREET,,,NEW YORK,NY,10044,1500,POINT (-73.9495079 40.762635698)
QUEENS,761836,Store,AC,SAM SPOLEM FAMILY INC,SAM SPOLEM FAMILY,66-91,FOREST AVE,,,RIDGEWOOD,NY,11385,,POINT (-73.901839849 40.704819383)
QUEENS,761816,Store,AC,JS INTERNATIONAL 5127 CORP,FOODSIDE MARKET,51-27,43RD AVE,,,WOODSIDE,NY,11377,1750,POINT (-73.912634064 40.744376267)
BRONX,761788,Store,AC,3001 PLAZA LIBRE FOOD CORP,3001 PLAZA LIBRE FOOD,3001,KINGSBRIDGE TERRACE,,,BRONX,NY,10463,1200,POINT (-73.902247378 40.875698142)
KINGS,761787,Store,AC,K & H GRILL CORP,K & H GRILL,1918,KINGS HWY,,,BROOKLYN,NY,11229,2000,POINT (-73.954057514 40.610366105)
BRONX,761784,Store,AC,FRESH & TASTY SUSHI INC,FRESH & TASTY SUSHI,421,E 189TH STREET,,,BRONX,NY,10458,30,POINT (-73.891833869 40.860365043)
NEW YORK,761783,Store,AC,PARTNERS IN CHOCOLATE LLC,PARTNERS IN CHOCOLATE,456,W BROADWAY,,,NEW YORK,NY,10012,,POINT (-74.000717725 40.726210294)
KINGS,761781,Store,AC,JBD MINI MARKET CORP,JBD MINI MARKET,1699,NOSTRAND AVE,,,BROOKLYN,NY,11226,1700,POINT (-73.948740202 40.644549937)
BRONX,761772,Store,A,CHULAMEX LLC,CHULAMEX,3622,WHITE PLAINS ROAD,,,BRONX,NY,10467,,POINT (-73.864669545 40.879833061)
QUEENS,761768,Store,AC,27 & 7 DELI GROCERY INC,27 & 7 DELI GROCERY,204-19,HOLLIS AVE,,,SAINT ALBANS,NY,11412,800,POINT (-73.753256534 40.707008737)
NEW YORK,761763,Store,AC,EAST SIDE CONVENIENCE CORPORATION,EAST SIDE CONVENIENCE,1726,1ST AVE,,,NEW YORK,NY,10128,1800,POINT (-73.947582326 40.779000651)
KINGS,761753,Store,A,4317 GROCERY INC,4317 GROCERY,809,44THST,,,BROOKLYN,NY,11220,,POINT (-74.0133144 40.6414317)
KINGS,761747,Store,A,FEST PRODUCTION INC,VARENYK HOUSE,1111A,BRIGHTON BEACH AVE,,,BROOKLYN,NY,11235,400,POINT (-73.956460438 40.578062083)
QUEENS,761740,Store,AC,ROYALE SWEETS LLC,ROYALE SWEETS & SUPPLIES,115-08,ROCKAWAY BLVD,,,SOUTH OZONE PARK,NY,11420,500,POINT (-73.822538999 40.676532388)
NEW YORK,761729,Store,AC,LUSCIOUS MARKET DELI CORP,LUSCIOUS MARKET DELI,68,2ND AVE,,,NEW YORK,NY,10003,2500,POINT (-73.989348679 40.726007368)
KINGS,761724,Store,A,CITYLINE PHARMACY CORP,CITYLINE PHARMACY,511,CORTELYOU RD,,,BROOKLYN,NY,11218,2000,POINT (-73.974160419 40.638549165)
KINGS,761722,Store,AC,TORIBIO GROCERY STORE CORP,TORIBIO GROCERY STORE,335,S 2ND ST,,,BROOKLYN,NY,11211,,POINT (-73.954042845 40.71044297)
BRONX,761699,Store,AC,FREEMAN DELI GROCERY CORP,FREEMAN DEL GROCERY,854,FREEMAN ST,,,BRONX,NY,10459,,POINT (-73.895817428 40.83044508)
NEW YORK,761675,Store,AC,CHERRY STREET FOOD MARKET LLC,BROOKLYN FARE,227,CHERRY STREET,,,NEW YORK,NY,10002,,POINT (-73.991059928 40.7108883)
NEW YORK,761649,Store,AC,SOHO DELI GROCERY T INC,SOHO DELI GROCERY T,386,CANAL ST,,,NEW YORK,NY,10013,,POINT (-74.004969277 40.721385335)
NEW YORK,761628,Store,AC,MEXICAN CULTURE DELI GROCERY GROUP THE,MEXICAN CULTURE DELI GROCERY GROUP,2017,AMSTERDAM AVE,,,NEW YORK,NY,10032,,POINT (-73.940440358 40.834762101)
BRONX,761622,Store,AC,ULISESS BUTCHER SHOP NY INC,ULISESS BUTCHER SHOP NY,956,LONGWOOD AVE,,,BRONX,NY,10459,,POINT (-73.898409891 40.817435533)
NEW YORK,761612,Store,A,CHURCH OF JESUS CHRIST OF LATTER-DAY SAI,CHURCH OF JESUS CHRIST OF LATTER-DAY SAI,250,DYCKMAN ST,,,NEW YORK,NY,10034,,POINT (-73.928536379 40.866368791)
BRONX,761605,Store,A,UTC PHARMACY INC,HEALTH PLUS SPECIALTY PHARMACY,516,E 149TH ST,,,BRONX,NY,10455,,POINT (-73.914271961 40.814647862)
KINGS,761604,Store,A,LEMONS & OLIVES INC,LEMONS & OLIVE,200,EASTERN PARKWAY,,,BROOKLYN,NY,11238,,POINT (-73.963682537 40.671349648)
KINGS,761602,Store,A,LUCKY 4216 GROCERY INC,LUCKY 4216 GROCERY,4216,8TH AVENUE,,,BROOKLYN,NY,11232,,POINT (-73.999531769 40.645337124)
NEW YORK,761597,Store,A,NEILAARSHI HEALTH CRE LLC,ANDY PHARMACY,3750,BROADWAY,,,NEW YORK,NY,10032,,POINT (-73.945172361 40.833215597)
QUEENS,761595,Store,A,YITHE INC,HOUSE OF IBERICO,133-35,ROOSEVELT AVE,,,FLUSHING,NY,11354,,POINT (-73.833076308 40.758705256)
QUEENS,761594,Store,A,DEERS GINSENG INC,DEERS GINSENG,135-28,40TH RD,,,FLUSHING,NY,11354,,POINT (-73.830551092 40.758628645)
NEW YORK,761593,Store,A,BHOLE PHRAMACY INC,2000 NINOS PHARMACY,3663,BROADWAY,,,NEW YORK,NY,10031,,POINT (-73.947826323 40.83047262)
KINGS,761582,Store,AC,JURY MARKET 1 CORP,JURY MARKET 1,1098,BEDFORD AVE,,,BROOKLYN,NY,11216,,POINT (-73.954814316 40.687118564)
NEW YORK,761577,Store,AC,ALEXANDERS MINI MART CORP,ALEXANDERS MINI MART,1121,1ST AVE,,,NEW YORK,NY,10065,,POINT (-73.961029916 40.761228837)
KINGS,761548,Store,AC,YEMZ DELI & FOOD MARKET CORP,YEMZ DELI & FOOD MARKET,1314,KINGS HWY,,,BROOKLYN,NY,11229,3000,POINT (-73.959462249 40.608133041)
QUEENS,761545,Store,A,ASIAN TASTE STORE INC,ASIAN TASTE STORE,86-25,WHITNEY AVE,,,ELMHURST,NY,11373,,POINT (-73.878629773 40.742184734)
KINGS,761529,Store,AC,LENOX DELI BITES CORP,LENOX DELI BITES,787,ALBANY AVE,,,BROOKLYN,NY,11203,,POINT (-73.939248619 40.654698871)
KINGS,761528,Store,AC,PYTHONIFIED LLC,CRUNCH-N,7203,13TH AVENUE 1ST FL,,,BROOKLYN,NY,11228,800,POINT (-74.005652654 40.621830663)
BRONX,761520,Store,AC,HONEST KING DELI GROCERY CORP,HONEST KING DELI GROCERY,1587,THIERIOT AVE,,,BRONX,NY,10460,1800,POINT (-73.866311896 40.840233807)
RICHMOND,761509,Store,A,ASIAN YANG SUPERMARKET INC,ASIAN YANG SUPERMARKET,1399,HYLAN BLVD,,,STATEN ISLAND,NY,10305,3000,POINT (-74.086836583 40.594570325)
KINGS,761504,Store,AC,KING CAPITAL DELI GROCERY CORP,KING CAPITAL DELI GROCERY,9527,CHURCH AVE,,,BROOKLYN,NY,11212,,POINT (-73.915722125 40.655701808)
KINGS,761498,Store,AC,MCGREENLAND DELI AND GRILL CORP,MCGREENLAND DELI AND GROCERY,336,MCGUINESS BLVD,,,BROOKLYN,NY,11222,1000,POINT (-73.952038397 40.733902366)
NEW YORK,761489,Store,AC,TROUSER FOODS INC,RODRIGUES KITCHEN,196,STANTON ST,NIMBUS,,NEW YORK,NY,10002,,POINT (-73.98301833 40.719884471)
KINGS,761479,Store,AC,BELLOS AMERICAN CORP,BELLOS AMERICAN,1445,ROCKAWAY PKWY,,,BROOKLYN,NY,11236,1800,POINT (-73.901887626 40.644926285)
QUEENS,761478,Store,AC,EXPRESS STAR DELI CORP,EXPRESS STAR DELI,21457,JAMAICA AVE,,,QUEENS VILLAGE,NY,11428,,POINT (-73.741907605 40.716989739)
RICHMOND,761473,Store,AC,WB SEAFOOD INC,WB SEAFOOD,425,BAY STREET,,,STATEN ISLAND,NY,10304,,POINT (-74.075945389 40.631587282)
NEW YORK,761467,Store,AC,PERA PRODUCE & MEAT MARKET CORP,PERA PRODUCE & MEAT MARKET,4087,BROADWAY,,,NEW YORK,NY,10032,2000,POINT (-73.939145605 40.84432053)
BRONX,761447,Store,AC,WB SEAFOOD INC,WB SEAFOOD,1041,PROSPECT AVE,,,BRONX,NY,10459,,POINT (-73.900141508 40.824936121)
KINGS,761441,Store,AC,874 MINI MARKET CORP,874 MINI MARKET,874,BROADWAY,,,BROOKLYN,NY,11206,1000,POINT (-73.937750437 40.698229196)
KINGS,761440,Store,AC,24K DELI INC,24K DELI,1057,FLATBUSH AVE,,,BROOKLYN,NY,11226,1800,POINT (-73.957839931 40.645059473)
QUEENS,761439,Store,AC,61 ST GREEN APPLE DELI CORP,61 ST GREEN APPLE DELI,6101,GRAND AVE,,,MASPETH,NY,11378,,POINT (-73.904269679 40.722045871)
KINGS,761417,Store,AC,ALQADIR DELI & GROCERY INC,ALQADIR DELI & GROCERY,1649,BEDFORD AVE,,,BROOKLYN,NY,11225,2000,POINT (-73.956495558 40.666264389)
BRONX,761416,Store,AC,10 DAYS GROCERY CORP,10 DAYS GROCERY,459,BROOK AVE,,,BRONX,NY,10455,1800,POINT (-73.916450345 40.812661411)
KINGS,761411,Store,AC,107 WILSON EXPRESS CORP,107 WILSON EXPRESS,107,WILSON AVE,,,BROOKLYN,NY,11237,,POINT (-73.926871397 40.701505137)
BRONX,761410,Store,AC,MOSES BAGELS & MORE CORP,MOSES BAGELS & MORE,674,ALLERTON AVE,,,BRONX,NY,10467,,POINT (-73.868140324 40.865032673)
KINGS,761409,Store,AC,WILLIAMSBURG DELI SERVICE LLC,WILLIAMSBURG DELI SERVICE,296,BROADWAY,,,BROOKLYN,NY,11211,,POINT (-73.958238072 40.708403108)
NEW YORK,761407,Store,AC,LENOX DELI AND CONVENIENCE CORP,LENOX DELI AND CONVENIENCE,100,LENOX AVE,,,NEW YORK,NY,10026,1000,POINT (-73.949824904 40.801380542)
NEW YORK,761403,Store,AC,SANTIAGO DELI 152 CORP,SANTIAGO DELI 152,3680,BROADWAY,,,NEW YORK,NY,10031,2200,POINT (-73.946901799 40.830839579)
NEW YORK,761402,Store,AC,ORGANIC DELI & KIMCHI INC,ORGANIC DELI & KIMCHI,720,2ND AVE,,,NEW YORK,NY,10016,,POINT (-73.973574859 40.747650238)
QUEENS,761391,Store,AC,FOUR SEASONS MARKETPLACE CORP THE,APPLE VALLEY MARKET,85-17,126TH ST,,,KEW GARDENS,NY,11415,,POINT (-73.825045691 40.703793858)
