County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
BRONX,736455,Store,AC,MADINA MUNAWARA GROCERY & HALAL MEAT INC,MADINA MUNAWARA GROCERY & HALAL MEAT,3110,BAINBRIDGE AVENUE,,,BRONX,NY,10467,1200,POINT (-73.879149535 40.873970087)
NEW YORK,736453,Store,AC,DELI DELIGHT AND GROCERY CORP,DELI DELIGHT AND GROCERY,19,AVENUE D,,,NEW YORK,NY,10009,600,POINT (-73.97842773 40.720655271)
KINGS,736444,Store,AC,LA MISELANIA POBLANA CORP,LA MISELANIA POBLANA,2006,BATH AVE,,,BROOKLYN,NY,11214,1500,POINT (-74.00141007 40.601190436)
BRONX,736442,Store,AC,J & R SUPER DELI GROCERY CORP,J & R SUPER DELI GROCERY,1292,WASHINGTON AVENUE,,,BRONX,NY,10456,1500,POINT (-73.905841454 40.832910077)
KINGS,736435,Store,AC,LAZIZA DELI & GROCERY CORP,LAZIZA DELI & GROCERY,418,EVERGREEN AVE,,,BROOKLYN,NY,11221,,POINT (-73.921952059 40.693003247)
NEW YORK,736433,Store,AC,SANTIAGO 2 ORGANIC FOOD CORP,SANTIAGO 2 ORGANIC FOOD,4380,BROADWAY,,,NEW YORK,NY,10040,1800,POINT (-73.933434428 40.854342771)
BRONX,736427,Store,AC,MORRIS AVE DELI CORP,MORRIS AVE DELI,1274,MORRIS AVE,,,BRONX,NY,10456,1200,POINT (-73.913150709 40.834736961)
BRONX,736425,Store,AC,EL SITIO DELI GROCERY CORP,EL SITIO DELI GROCERY,954,PROSPECT AVENUE,,,BRONX,NY,10459,1200,POINT (-73.900246031 40.822516685)
KINGS,736417,Store,AC,KING STAR NOSTRAND DELI CORP,KING STAR NOSTRAND DELI,1559,NOSTRAND AVE,,,BROOKLYN,NY,11226,,POINT (-73.949114202 40.648063673)
QUEENS,736416,Store,AC,BEACH CHANNEL MEAT & PRODUCE CORP,SHOP FAIR SUPERMARKET,1329,BEACH CHANNEL DRIVE,,,FAR ROCKAWAY,NY,11691,10000,POINT (-73.75494138 40.606200174)
RICHMOND,736402,Store,AC,SAN MIGUEL PLCKS DELI LLC,SAN MIGUEL PLCKS DELI,6,DECKER AVE,,,STATEN ISLAND,NY,10302,2000,POINT (-74.133169397 40.631952021)
KINGS,736396,Store,AC,L&E DELI GROCERY CORP,L&E DELI GROCERY,820,5TH AVENUE,,,BROOKLYN,NY,11232,1000,POINT (-74.000977731 40.654300815)
QUEENS,736393,Store,AC,CIELO 86 INC,CIELO 86,86-24,ROOSEVELT AVE,,,JACKSON HEIGHTS,NY,11372,,POINT (-73.879204604 40.748009906)
KINGS,736391,Store,AC,MAHBEER CONVENIENCE INC,MAHBEER CONVENIENCE,2321,65TH STREET,,,BROOKLYN,NY,11204,,POINT (-73.978516745 40.612281035)
